"","year","sex","ethnicity","drug","response"
"1",2005,"Female",NA,"Heroin","Yes"
"2",2005,"Female",NA,"Heroin","Yes"
"3",2005,"Female",NA,"Heroin","Yes"
"4",2005,"Female",NA,"Heroin","Yes"
"5",2005,"Male",NA,"Heroin","Yes"
"6",2005,"Male",NA,"Heroin","Yes"
"7",2005,"Male",NA,"Heroin","Yes"
"8",2005,"Male",NA,"Heroin","Yes"
"9",2005,"Male",NA,"Heroin","Yes"
"10",2005,"Male",NA,"Heroin","Yes"
"11",2005,"Male",NA,"Heroin","Yes"
"12",2005,"Female",NA,"Heroin","Yes"
"13",2005,"Female",NA,"Heroin","Yes"
"14",2005,"Female",NA,"Heroin","Yes"
"15",2005,"Female",NA,"Heroin","Yes"
"16",2005,"Male",NA,"Heroin","Yes"
"17",2005,"Male",NA,"Heroin","Yes"
"18",2005,"Male",NA,"Heroin","Yes"
"19",2005,"Male",NA,"Heroin","Yes"
"20",2005,"Female",NA,"Heroin","Yes"
"21",2005,"Female",NA,"Heroin","Yes"
"22",2005,"Male",NA,"Heroin","Yes"
"23",2005,"Female",NA,"Heroin","Yes"
"24",2005,"Male",NA,"Heroin","Yes"
"25",2005,"Male",NA,"Heroin","Yes"
"26",2005,"Male",NA,"Heroin","Yes"
"27",2005,"Male",NA,"Heroin","Yes"
"28",2005,"Male",NA,"Heroin","Yes"
"29",2005,"Male",NA,"Heroin","Yes"
"30",2005,"Female",NA,"Heroin","Yes"
"31",2005,"Female",NA,"Heroin","Yes"
"32",2005,"Female",NA,"Heroin","Yes"
"33",2005,"Male",NA,"Heroin","Yes"
"34",2005,"Male",NA,"Heroin","Yes"
"35",2005,"Male",NA,"Heroin","Yes"
"36",2005,"Female",NA,"Heroin","Yes"
"37",2005,"Male",NA,"Heroin","Yes"
"38",2005,"Male",NA,"Heroin","Yes"
"39",2005,"Male",NA,"Heroin","Yes"
"40",2005,"Male",NA,"Heroin","Yes"
"41",2005,"Female",NA,"Heroin","Yes"
"42",2005,"Female",NA,"Heroin","Yes"
"43",2005,"Male",NA,"Heroin","Yes"
"44",2005,"Male",NA,"Heroin","Yes"
"45",2005,"Male",NA,"Heroin","Yes"
